 Open, High, Low, Close, Volume
26.415,26.6425,26.41,26.525,118649640
26.45,26.625,26.375,26.5,99455796
26.655,26.86,26.5725,26.705,99881204
26.8525,26.9875,26.5775,26.735,111065156
26.8475,26.97,26.67,26.8925,100345000
27.1413,27.1875,26.92,27.0075,94700320
27.1475,27.33,27.1325,27.2125,85030680
27.215,27.275,26.9625,27.1275,103280920
27.1925,27.4225,27.09,27.34,101472280
27.3075,27.4,27.255,27.27,87938796
27.275,27.3425,27.085,27.305,101423920
27.4075,27.5575,27.3025,27.345,135177796
27.035,27.385,27.02,27.37,103472844
26.945,27.11,26.945,27.045,74641720
27.13,27.2325,26.9625,26.9825,109938040
27.1775,27.225,26.94,27,96034040
27.0575,27.235,27.0025,27.2025,105260796
26.88,27.0925,26.79,27.0925,112148884
26.5675,26.9125,26.545,26.87,162213592
26.395,26.5,26.32,26.4675,109634600
